,tissue,network,module,glucose,weight,insulin,triglyceride,mean
359,adipose,UNSIGNED,salmon,25.1,10.2,162.5,40.8,59.7
360,adipose,UNSIGNED,salmon4,26.9,10.7,162.1,48.2,62
361,adipose,UNSIGNED,skyblue1,28.4,10.3,164.4,49.2,63.1
362,adipose,UNSIGNED,thistle2,26.8,11,176.2,47.2,65.3
363,adipose,UNSIGNED,thistle1,26.1,9.7,163.1,41.4,60.1
364,adipose,UNSIGNED,violet,25.4,10.7,155.9,46.5,59.6
365,adipose,UNSIGNED,skyblue3,25.9,11.3,180.7,49,66.7
366,adipose,UNSIGNED,saddlebrown,25.4,10.7,165.6,45.9,61.9
367,adipose,UNSIGNED,sienna3,27.2,11,156,45.8,60
368,adipose,UNSIGNED,yellow4,25.5,11.5,166.3,46.8,62.5
369,adipose,UNSIGNED,skyblue,26,10.4,161.3,44.7,60.6
370,adipose,UNSIGNED,royalblue,26.5,11.2,168.7,48.7,63.8
371,adipose,UNSIGNED,steelblue,26.3,11.1,176.7,48.6,65.7
372,adipose,UNSIGNED,tan,23.4,9.6,126.1,41.8,50.2
373,adipose,UNSIGNED,yellowgreen,26.1,11.3,162.3,46.7,61.6
374,adipose,UNSIGNED,white,25.8,11,164.5,44.8,61.5
375,adipose,UNSIGNED,yellow,23.8,10,133,39.2,51.5
376,adipose,UNSIGNED,turquoise,23,10.1,136.6,39.2,52.2
377,adipose,UNSIGNED,grey,23.9,10.1,124.7,43,50.4
378,kidney,SIGNED,brown4,27.2,11.5,168.1,49.8,64.1
379,kidney,SIGNED,darkslateblue,25.4,11.4,160.9,46.7,61.1
380,kidney,SIGNED,darkmagenta,27,11,148.2,50.8,59.2
381,kidney,SIGNED,darkorange,25,11.3,142.8,46.8,56.5
382,kidney,SIGNED,darkred,25.3,10.8,191.8,42.1,67.5
383,kidney,SIGNED,floralwhite,19.5,10.8,143.3,40.4,53.5
384,kidney,SIGNED,darkolivegreen,24.5,11.3,156.1,49.3,60.3
385,kidney,SIGNED,darkgrey,24.7,10.9,159.1,49.2,61
386,kidney,SIGNED,darkturquoise,21.4,9.7,110,45.3,46.6
387,kidney,SIGNED,darkorange2,26.5,10.8,129.4,42.2,52.2
388,kidney,SIGNED,bisque4,25.7,11.2,171.6,47.8,64.1
389,kidney,SIGNED,darkgreen,24.7,11.1,177.8,48.7,65.6
390,kidney,SIGNED,grey60,21.9,10.4,133.6,39.8,51.4
391,kidney,SIGNED,greenyellow,21,9.7,127,38.4,49
392,kidney,SIGNED,black,23.7,9.9,128.7,44,51.6
393,kidney,SIGNED,cyan,24.1,11.5,180.4,45.5,65.3
394,kidney,SIGNED,green,26,11.4,207,45.6,72.5
395,kidney,SIGNED,brown,21.7,9.7,135,41.2,51.9
396,kidney,SIGNED,blue,24.5,11.1,165.3,42.8,60.9
397,kidney,SIGNED,lightpink4,28.8,11.3,174.2,49.6,66
398,kidney,SIGNED,ivory,24.8,9.4,145.8,40.5,55.1
399,kidney,SIGNED,mediumpurple3,24.7,10.8,161.2,45.6,60.6
400,kidney,SIGNED,plum2,27.4,11.5,187.7,51,69.4
401,kidney,SIGNED,lightsteelblue1,21.6,11.1,140.6,37.7,52.7
402,kidney,SIGNED,orange,24.1,11.4,174.4,44.2,63.5
403,kidney,SIGNED,paleturquoise,26.9,10.5,164.8,47.4,62.4
404,kidney,SIGNED,lightcyan1,25.6,11.5,168.1,51.6,64.2
405,kidney,SIGNED,orangered4,25.2,10.2,140.9,41.9,54.5
