,gene.id,symbol
614,10003838560.Cwc27,Cwc27
615,10004037439.Rab28,Rab28
616,10002921818.Gm10313,Gm10313
617,514344.Cdc45,Cdc45
618,10003119051.Gm28651,Gm28651
619,503356.Zbtb20,Zbtb20
620,518533.Sorbs2,Sorbs2
621,10003836148.Gm9025,Gm9025
622,10002945681.Rbms3,Rbms3
623,498269.4930403P22Rik,4930403P22Rik
624,10003844237.Naa60,Naa60
625,10002942168.C130026L21Rik,C130026L21Rik
626,516486.Ank2,Ank2
627,10003836674.Fam114a1,Fam114a1
628,10004033190.Ncoa4-ps,Ncoa4-ps
629,10002901674.Baiap2l1,Baiap2l1
630,515876.Rsrc2,Rsrc2
631,516722.Gcn1,Gcn1
632,10002912065.Metrnl,Metrnl
633,10004033011.Tbcd,Tbcd
634,10003843189.Mrpl17,Mrpl17
635,10003838224.Zfp267,Zfp267
636,518928.Slc35g3,Slc35g3
637,505230.Bax,Bax
638,10002678341.Pcdhb13,Pcdhb13
639,10004033353.H2ac20,H2ac20
640,10003839295.BC052040,BC052040
641,501586.2010008C14Rik,2010008C14Rik
642,10004036898.Mrgprb11-ps,Mrgprb11-ps
643,10002925915.A230072E10Rik,A230072E10Rik
644,10003835665.Gm5145,Gm5145
645,10002902120.Sh3tc2,Sh3tc2
646,10003838465.D17H6S53E,D17H6S53E
647,10003844829.Acss3,Acss3
648,10002906145.Nrxn3,Nrxn3
649,10002938554.Gm21362,Gm21362
650,516643.Cd53,Cd53
651,10002909096.Asb14,Asb14
652,10004036767.Dpp6,Dpp6
653,10003844940.A330058E17Rik,A330058E17Rik
654,10002942075.Gm13402,Gm13402
655,501559.Rnf114,Rnf114
656,10003837794.Fbxw11,Fbxw11
657,10002916895.Gm6883,Gm6883
658,504343.Btbd35f24,Btbd35f24
659,503973.4930565N06Rik,4930565N06Rik
660,10002926704.Fcrls,Fcrls
661,10003840190.Gm6568,Gm6568
662,511321.4921504A21Rik,4921504A21Rik
663,10004034307.Gal3st2,Gal3st2
664,516990.A930014E01Rik,A930014E01Rik
665,10003840292.4930414F18Rik,4930414F18Rik
666,516238.Plcl2,Plcl2
667,10003843255.Sema3a,Sema3a
668,10002901003.Fcnb,Fcnb
669,509441.Rassf4,Rassf4
670,10002902635.Dleu7,Dleu7
671,510912.1700018A04Rik,1700018A04Rik
672,10002907584.Mpdu1,Mpdu1
673,10002923437.Gm18352,Gm18352
674,507546.Igf1,Igf1
675,591605.Dmpk,Dmpk
676,10002902914.Eci3,Eci3
677,10002914735.Gm24813,Gm24813
678,10002898257.Tbc1d16,Tbc1d16
679,10003839310.Lrrc4c,Lrrc4c
680,516455.4930408K08Rik,4930408K08Rik
681,10003843223.Pgap2,Pgap2
682,10002911999.Xrcc5,Xrcc5
683,10003843216.Gm26597,Gm26597
684,10003841692.Gm8939,Gm8939
685,10003845716.Gfra1,Gfra1
686,10004035971.Rpusd2,Rpusd2
687,10003843932.Gm18423,Gm18423
688,516923.Nfe2l3,Nfe2l3
689,10002911855.Nmu,Nmu
690,10003842309.Ttc1,Ttc1
691,515498.Casq2,Casq2
692,10002901886.Rtn3,Rtn3
693,10003839752.Gm25606,Gm25606
694,10002927152.Mrgpra2b,Mrgpra2b
695,10003842392.Gm27006,Gm27006
696,507388.Fkbp1a-ps1,Fkbp1a-ps1
697,505740.Dcaf12,Dcaf12
698,10002946856.Drd5,Drd5
699,10004035854.Olfr583,Olfr583
700,516023.Rpl8,Rpl8
701,10002902848.B3gnt6,B3gnt6
702,10003842792.Gm13615,Gm13615
703,517935.Ccdc90b,Ccdc90b
704,10002937032.Gm48370,Gm48370
705,514585.Mrpl44,Mrpl44
706,10002935590.Gm28086,Gm28086
707,514714.Aire,Aire
708,10003841782.Gm13500,Gm13500
709,10002919858.Ptprtos,Ptprtos
710,506488.Ppfia4,Ppfia4
711,10002898372.Slc10a7,Slc10a7
712,10002950981.Gm9614,Gm9614
713,10004038196.Smarcc2,Smarcc2
714,10002915135.Hemk1,Hemk1
715,10002935689.Gm37737,Gm37737
716,10003843063.Gm22519,Gm22519
717,500164.Tfb1m,Tfb1m
718,10002911132.Tmem33,Tmem33
719,10002909097.Rps15a-ps3,Rps15a-ps3
720,10004033536.Ppfia1,Ppfia1
721,518248.Nr2f2,Nr2f2
722,10003842303.Gm11419,Gm11419
723,10003845106.AI427809,AI427809
724,10002928050.Irak4,Irak4
725,10003843755.Gm46313,Gm46313
726,10003838474.Zfp563,Zfp563
