Accession,module,tissue_origin,kME_module,multiple_tissues,transcript,gene_symbol,entrez_ID,numb_tissues
508303.Peli1,black,islet,0.545644501,NO,,Peli1,508303,1
10002927995.Bmpr2,black,islet,0.545548374,NO,,Bmpr2,10002927995,1
519682.Lig3,black,islet,0.544982076,NO,,Lig3,519682,1
10003839795.Zfp658,black,islet,0.544026647,NO,,Zfp658,10003839795,1
10004037367.Zscan26,black,islet,0.543094545,NO,,Zscan26,10004037367,1
10002916475.Ccpg1os,black,islet,0.542878826,NO,,Ccpg1os,10002916475,1
511958.Oxsr1,black,islet,0.54281427,NO,,Oxsr1,511958,1
10002916960.Pja1,black,islet,0.5422975,NO,,Pja1,10002916960,1
1478947.Mef2a,black,islet,0.541162579,NO,,Mef2a,1478947,1
518016.Il23a,black,islet,0.540399523,NO,,Il23a,518016,1
504051.Clic4,black,islet,0.540334307,NO,,Clic4,504051,1
519739.Rce1,black,islet,0.539985326,NO,,Rce1,519739,1
10002900261.Map2k3os,black,islet,0.539947002,NO,,Map2k3os,10002900261,1
10002905696.Mterf1a,black,islet,0.53973035,NO,,Mterf1a,10002905696,1
10002908778.Ermp1,black,islet,0.538747706,NO,,Ermp1,10002908778,1
10004035761.Bcl7b,black,islet,0.538517482,NO,,Bcl7b,10004035761,1
10003113963.Uprt,black,islet,0.53790156,NO,,Uprt,10003113963,1
501697.Hibch,black,islet,0.536233585,NO,,Hibch,501697,1
10002907560.Pex1,black,islet,0.53561753,NO,,Pex1,10002907560,1
503628.Pdzd8,black,islet,0.534518546,NO,,Pdzd8,503628,1
10004035482.Gm13597,black,islet,0.534137376,NO,,Gm13597,10004035482,1
10002907751.Gm14107,black,islet,0.533695953,NO,,Gm14107,10002907751,1
503402.Gm18910,black,islet,0.533670926,NO,,Gm18910,503402,1
10002913516.1810058I24Rik,black,islet,0.533487836,NO,,1810058I24Rik,10002913516,1
10004034175.Mars1,black,islet,0.532850552,NO,,Mars1,10004034175,1
10003113556.Slc25a53,black,islet,0.532677413,NO,,Slc25a53,10003113556,1
10002917356.Cybc1,black,islet,0.531724232,NO,,Cybc1,10002917356,1
10004037657.Mterf1b,black,islet,0.531591341,NO,,Mterf1b,10004037657,1
516299.Gm13597,black,islet,0.53121025,NO,,Gm13597,516299,1
10002937598.Gm6462,black,islet,0.529881658,NO,,Gm6462,10002937598,1
