,Accession,module,tissue_origin,kME_module,multiple_tissues,gene_symbol,entrez_ID,numb_tissues,Sign
269,518052.Rskr,black,gastroc,,NO,Rskr,,1,SIGNED
270,10002933520.Gm5913,black,gastroc,,NO,Gm5913,,1,SIGNED
271,10002914363.Atp4b,black,gastroc,,NO,Atp4b,,1,SIGNED
272,10002927781.Olfr813,black,gastroc,,NO,Olfr813,,1,SIGNED
273,10003843140.Ndufaf8,black,gastroc,,NO,Ndufaf8,,1,SIGNED
274,10002933604.Mrpl34,black,gastroc,,NO,Mrpl34,,1,SIGNED
275,10002906776.Olfr315,black,gastroc,,NO,Olfr315,,1,SIGNED
276,10004035066.Mob3a,black,gastroc,,NO,Mob3a,,1,SIGNED
277,10002942971.Gm10739,black,gastroc,,NO,Gm10739,,1,SIGNED
278,10002910344.Ggn,black,gastroc,,NO,Ggn,,1,SIGNED
279,10003116567.Zbed3,black,gastroc,,NO,Zbed3,,1,SIGNED
280,10004035161.Olfr68,black,gastroc,,NO,Olfr68,,1,SIGNED
281,10003839452.Trbv29,black,gastroc,,NO,Trbv29,,1,SIGNED
282,10002910774.Xylt1,black,gastroc,,NO,Xylt1,,1,SIGNED
283,10002904592.Hhat,black,gastroc,,NO,Hhat,,1,SIGNED
284,501616.Eef1akmt4,black,gastroc,,NO,Eef1akmt4,,1,SIGNED
285,10002918296.Gm12800,black,gastroc,,NO,Gm12800,,1,SIGNED
286,518117.2010008C14Rik,black,gastroc,,NO,2010008C14Rik,,1,SIGNED
287,10004036041.Gpr119,black,gastroc,,NO,Gpr119,,1,SIGNED
288,10002907881.Plch1,black,gastroc,,NO,Plch1,,1,SIGNED
289,510198.Castor2,black,gastroc,,NO,Castor2,,1,SIGNED
290,10002901034.Bet1l,black,gastroc,,NO,Bet1l,,1,SIGNED
291,10002914835.Olfr1270,black,gastroc,,NO,Olfr1270,,1,SIGNED
292,506755.Rhpn1,black,gastroc,,NO,Rhpn1,,1,SIGNED
293,10003837753.Gm48396,black,gastroc,,NO,Gm48396,,1,SIGNED
294,10002899323.Gm23941,black,gastroc,,NO,Gm23941,,1,SIGNED
295,10003845108.Htr6,black,gastroc,,NO,Htr6,,1,SIGNED
296,10002908256.Syce1l,black,gastroc,,NO,Syce1l,,1,SIGNED
297,10003118508.Cyp2b9,black,gastroc,,NO,Cyp2b9,,1,SIGNED
298,10002897138.Cpne9,black,gastroc,,NO,Cpne9,,1,SIGNED
299,10003836692.Gstm2-ps1,black,gastroc,,NO,Gstm2-ps1,,1,SIGNED
300,10002941968.Gm13420,black,gastroc,,NO,Gm13420,,1,SIGNED
301,10002915315.Stx5a,black,gastroc,,NO,Stx5a,,1,SIGNED
302,10002917228.Cyb5d2,black,gastroc,,NO,Cyb5d2,,1,SIGNED
303,10002937949.Gm50375,black,gastroc,,NO,Gm50375,,1,SIGNED
304,10003841701.Gm12448,black,gastroc,,NO,Gm12448,,1,SIGNED
305,10002926592.Gm22797,black,gastroc,,NO,Gm22797,,1,SIGNED
306,10003842497.Adamts17,black,gastroc,,NO,Adamts17,,1,SIGNED
307,500490.4833411C07Rik,black,gastroc,,NO,4833411C07Rik,,1,SIGNED
308,10002901299.Ncf1,black,gastroc,,NO,Ncf1,,1,SIGNED
309,10004037179.Olfr569,black,gastroc,,NO,Olfr569,,1,SIGNED
310,10004034588.Ceacam1,black,gastroc,,NO,Ceacam1,,1,SIGNED
311,10004035236.Krtap10-4,black,gastroc,,NO,Krtap10-4,,1,SIGNED
312,10003836623.1700025L06Rik,black,gastroc,,NO,1700025L06Rik,,1,SIGNED
313,10003842537.Gm10086,black,gastroc,,NO,Gm10086,,1,SIGNED
314,518141.Cpa1,black,gastroc,,NO,Cpa1,,1,SIGNED
